variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,method,brier,nll,ece
consequence,lightgbm,1,21519,2392,354,0.7758620689655172,0.3813559322033898,0.5113636363636364,0.9112026856949595,0.6749426254663756,0.49524509314861254,0.731638418079096,platt,0.08404297478900338,0.29069026934981945,0.07701405768202203
consequence,lightgbm,2,21520,2391,354,0.7333333333333333,0.4350282485875706,0.5460992907801419,0.8972698579111299,0.674874389964825,0.5113597472520514,0.7372881355932204,platt,0.08742052217803241,0.30265926613646915,0.09153213065559557
consequence,lightgbm,3,21520,2391,354,0.7658227848101266,0.3418079096045198,0.47265625,0.9099872694141435,0.6794276155051066,0.4626917161010779,0.748587570621469,platt,0.08399225598276142,0.29104991014625364,0.07947619124324119
consequence,lightgbm,4,21520,2391,353,0.7697368421052632,0.3314447592067989,0.4633663366336634,0.9065211408173875,0.6446089100874898,0.45692507463372206,0.7308781869688386,platt,0.08691614110915803,0.2980641894355327,0.0752037853851906
consequence,lightgbm,5,21520,2391,353,0.7315436241610739,0.3087818696883853,0.4342629482071713,0.8978175292668755,0.6251358990905107,0.4243350312077482,0.71671388101983,platt,0.08751228414449222,0.2987037579623388,0.07271269124979139
consequence,lightgbm,6,21520,2391,353,0.8156424581005587,0.41359773371104813,0.5488721804511278,0.9123953662286248,0.7053507116672201,0.5356783780166707,0.7450424929178471,platt,0.08319524146393724,0.2895109130741421,0.08970142968380455
consequence,lightgbm,7,21520,2391,353,0.7624309392265194,0.3909348441926346,0.5168539325842697,0.905702418913171,0.6587766446440981,0.49597853498579664,0.7365439093484419,platt,0.08569551155803862,0.2970769167661581,0.08139329565885092
consequence,lightgbm,8,21520,2391,353,0.7987012987012987,0.34844192634560905,0.48520710059171596,0.8839930832594306,0.631817520934013,0.4815500163981093,0.6912181303116147,platt,0.09014271294358343,0.3093986909343139,0.07814800843895611
consequence,lightgbm,9,21520,2391,353,0.806060606060606,0.37677053824362605,0.5135135135135135,0.9034888117273225,0.6776199539578305,0.5053298316654978,0.7082152974504249,platt,0.0850026556538119,0.2939147918560294,0.08180208200972333
consequence,lightgbm,10,21520,2391,353,0.8435374149659864,0.35127478753541075,0.496,0.8895538591131114,0.6570754863208974,0.502093371091831,0.6770538243626062,platt,0.08862655622829216,0.30440347736587503,0.07735403214155645
consequence,lightgbm,1,21519,2392,354,0.8053691275167785,0.3389830508474576,0.47713717693836977,0.9062432427936995,0.6781546225385234,0.47714422861993083,0.7372881355932204,isotonic,0.08507891050803414,0.293451312333768,0.08101436627995418
