variant,model,held_out_project,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
severity,logistic_regression,org.apache:thrift,23732,179,25,0.5333333333333333,0.96,0.6857142857142857,0.9646753246753247,0.8391051602289653,0.6581232310484034,0.8
severity,logistic_regression,org.apache:vfs,23506,405,38,0.4246575342465753,0.8157894736842105,0.5585585585585585,0.9346766097805822,0.5736117940927685,0.5320199971961171,0.868421052631579
severity,logistic_regression,org.apache:zookeeper,23166,745,58,0.5125,0.7068965517241379,0.5942028985507246,0.9631832555338052,0.6540382877285823,0.5626462325002057,0.9827586206896551
severity,decision_tree,org.apache:archiva,22326,1585,88,0.6206896551724138,0.4090909090909091,0.4931506849315068,0.6971974251533369,0.28672606627572367,0.481005405062052,0.5
severity,decision_tree,org.apache:batik,22199,1712,225,0.5397489539748954,0.5733333333333334,0.5560344827586207,0.7496794440708361,0.3655308333007469,0.48680967815492027,0.5866666666666667
severity,decision_tree,org.apache:bcel,23440,471,60,0.723404255319149,0.5666666666666667,0.6355140186915887,0.7675182481751825,0.46513077652798485,0.5951796673724402,0.65
severity,decision_tree,org.apache:cayenne,20341,3570,189,0.5639097744360902,0.3968253968253968,0.4658385093167702,0.6898353544316277,0.25570649312356525,0.4488952335966361,0.48677248677248675
severity,decision_tree,org.apache:cocoon,21209,2702,117,0.3262411347517731,0.39316239316239315,0.35658914728682173,0.6782059548016994,0.15454257726333573,0.3261828076998791,0.5128205128205128
severity,decision_tree,org.apache:codec,23794,117,2,0.0,0.0,0.0,0.49130434782608695,0.017094017094017096,-0.017391304347826087,0.0
severity,decision_tree,org.apache:commons-cli,23752,159,11,0.4444444444444444,0.36363636363636365,0.4,0.66492628992629,0.205641318848866,0.36222648468606794,0.36363636363636365
severity,decision_tree,org.apache:commons-fileupload,23861,50,4,1.0,0.25,0.4,0.625,0.31,0.48445214165180484,0.25
severity,decision_tree,org.apache:commons-jelly,23492,419,13,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.6513830996589617,0.22660791873202374,0.4418668603094446,0.6923076923076923
severity,decision_tree,org.apache:commons-jexl,23753,158,16,0.5,0.25,0.3333333333333333,0.6109154929577465,0.2009493670886076,0.3052359973602508,0.25
severity,decision_tree,org.apache:configuration,23503,408,25,0.5238095238095238,0.44,0.4782608695652174,0.7069451697127938,0.26478991596638657,0.4492515158205214,0.64
severity,decision_tree,org.apache:daemon,23899,12,6,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.9166666666666667,0.8451542547285166,0.5
