variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
severity,lightgbm,5,21520,2391,230,0.6192170818505338,0.7565217391304347,0.6810176125244618,0.9663843228778946,0.7654607368271413,0.6473229604769539,0.9304347826086956,smote
severity,lightgbm,6,21520,2391,230,0.6501766784452296,0.8,0.7173489278752436,0.9753837796511277,0.8087251616360144,0.6884023227252589,0.9739130434782609,smote
severity,lightgbm,7,21520,2391,231,0.6604477611940298,0.7662337662337663,0.7094188376753507,0.9749659291325958,0.8079071785887538,0.6780964955436215,0.9783549783549783,smote
severity,lightgbm,8,21520,2391,231,0.6480263157894737,0.8528138528138528,0.7364485981308411,0.9784171075837742,0.8382829031518345,0.7123609127384329,0.9653679653679653,smote
severity,lightgbm,9,21520,2391,231,0.6405693950177936,0.7792207792207793,0.703125,0.9724987974987975,0.8098378791897359,0.6719288552357943,0.9523809523809523,smote
severity,lightgbm,10,21520,2391,231,0.6286644951140065,0.8354978354978355,0.7174721189591078,0.975462962962963,0.823654252061602,0.6912279386485526,0.961038961038961,smote
severity,svm,1,21519,2392,231,0.4938875305623472,0.8744588744588745,0.63125,0.960359862257132,0.7326589620693736,0.6108910220835634,0.9177489177489178,smote
severity,svm,2,21520,2391,230,0.48426150121065376,0.8695652173913043,0.6220839813374806,0.9509003480675209,0.6834960074040698,0.6013916068675889,0.9,smote
severity,svm,3,21520,2391,230,0.47073170731707314,0.8391304347826087,0.603125,0.9504104380017304,0.700813238313932,0.577874382185274,0.8826086956521739,smote
severity,svm,4,21520,2391,230,0.4649532710280374,0.8652173913043478,0.6048632218844985,0.9569422368871094,0.7266959101645429,0.5839731576923319,0.8869565217391304,smote
severity,svm,5,21520,2391,230,0.4419642857142857,0.8608695652173913,0.584070796460177,0.9504919220167797,0.7076741125580231,0.5630908541208058,0.8869565217391304,smote
severity,svm,6,21520,2391,230,0.4975124378109453,0.8695652173913043,0.6329113924050633,0.9586705027865521,0.7019308768128605,0.6118894377339644,0.9130434782608695,smote
severity,svm,7,21520,2391,231,0.5139240506329114,0.8787878787878788,0.6485623003194888,0.9621131954465288,0.7294488037846658,0.6283847079030819,0.9307359307359307,smote
