project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:configuration,xgboost,2012-07-14 20:35:03+00:00,2014-08-24 17:23:38+00:00,256,515,51,103,0.7586206896551724,0.42718446601941745,0.546583850931677,0.9181001979451409,0.6988672108143636,0.4975227244959511,0.6893203883495146
org.apache:daemon,xgboost,2010-03-19 23:03:51+00:00,2017-07-08 02:35:18+00:00,12,18,3,4,0.0,0.0,0.0,0.2589285714285714,0.23015873015873012,-0.12964074471043288,0.25
org.apache:dbcp,xgboost,2011-07-19 20:49:18+00:00,2018-06-10 19:17:32+00:00,104,125,21,25,0.5,0.32,0.3902439024390244,0.777,0.45924873583964143,0.2873478855663454,0.56
org.apache:digester,xgboost,2011-01-27 17:15:45+00:00,2011-05-30 13:12:04+00:00,233,346,47,69,0.42718446601941745,0.6376811594202898,0.5116279069767442,0.8114895620781667,0.49114780040997796,0.3711157336744401,0.4782608695652174
org.apache:felix,xgboost,2010-06-24 11:15:42+00:00,2014-05-06 15:23:03+00:00,3467,5078,694,302,0.21929824561403508,0.16556291390728478,0.18867924528301888,0.7563028997082544,0.1628046888543774,0.14652140836056166,0.47019867549668876
org.apache:hive,xgboost,2015-04-08 00:21:11+00:00,2017-10-16 03:03:42+00:00,4715,6585,939,1224,0.44677661169415295,0.2434640522875817,0.31517715494447385,0.7309124358566408,0.3452953936564432,0.22515990016672033,0.42401960784313725
org.apache:httpclient,xgboost,2011-01-07 21:01:16+00:00,2014-08-16 11:06:55+00:00,568,901,89,152,0.2857142857142857,0.06578947368421052,0.10695187165775401,0.6703235893471997,0.2694607214661624,0.06281606034830162,0.35526315789473684
org.apache:httpcore,xgboost,2010-03-22 22:02:09+00:00,2016-07-16 11:27:17+00:00,628,998,121,200,0.4712230215827338,0.655,0.5481171548117155,0.7935557644110275,0.5057979997460097,0.4203920952603832,0.515
org.apache:net,xgboost,2011-02-15 23:34:53+00:00,2014-04-13 18:38:49+00:00,225,274,45,24,0.14285714285714285,0.2916666666666667,0.1917808219178082,0.62825,0.2329784602305568,0.09123027437733026,0.3333333333333333
org.apache:thrift,xgboost,2011-08-23 20:27:19+00:00,2015-11-08 14:43:55+00:00,165,197,22,37,0.0,0.0,0.0,0.6785472972972973,0.2924565247762991,-0.048701076700570715,0.40540540540540543
